Average grade,Hired
63.70885308984149,False
56.31395915251322,False
39.70775077957751,False
49.468852630606506,False
66.76064711528203,False
52.62940725079243,False
62.339954633486656,False
55.04836169804555,False
44.44664952202213,False
67.23279884933964,False
49.43846031876966,False
77.35073321538077,False
81.01376568370506,False
66.51142466516627,False
39.64433743836514,False
60.44975227443376,False
59.623647956394166,False
50.128663369726226,False
51.70534710676369,False
80.06434760257969,False
51.66852910445664,False
34.019760560183634,False
55.96841866497962,False
70.23921636055027,False
56.10205951469343,False
63.39186079214674,False
48.066026077638114,False
92.55245597371342,False
53.16558257438568,False
52.66280430670176,False
66.83842827233009,False
31.688594619700616,False
70.87146004667433,False
48.18635393051673,False
59.95392061601462,False
83.59571333605791,False
61.284982837137115,False
64.85095702523893,False
56.91333514013749,False
57.864891838952325,False
86.90690070492487,False
38.58230972535527,False
52.237828319409395,False
74.62316987773742,False
40.808052824305435,False
63.76997303683511,False
56.22022768580333,False
35.906844136020766,False
59.86397360821916,False
41.181875133587525,False
46.40378289490776,False
35.44159740987786,False
82.9729947577089,False
40.50545948790695,False
45.22555191972648,False
45.56443940355464,False
67.62826863754806,False
63.41123367151706,False
42.85722819406474,False
62.72136246815212,False
33.158058118787764,False
50.91051961946738,False
45.49791830716326,False
64.73290518577879,False
45.38095544895775,False
82.0596834929004,False
72.84958136057784,False
82.104453873816,False
68.86937261488012,False
45.9492471280674,False
47.86943814572466,False
50.60730893450802,False
78.06435351760993,False
71.85810632827207,False
51.196118123726194,False
57.26731514252073,False
44.188738773811146,False
70.50580513893225,False
62.09608883910304,False
31.950266335481547,False
48.2157661530961,False
57.18767880934289,False
60.01098762615315,False
75.55656962707421,False
84.80859290808917,False
59.559900002364685,False
73.75137521567268,False
66.78584180041256,False
76.74661349738473,False
68.363311795661,False
72.24853382417754,False
60.709777036878926,False
68.02429637439633,False
53.24345840668907,False
61.08830256926612,False
53.624647027778515,False
55.21051511347029,False
84.06729312122616,False
77.07769908709008,False
78.6486660739707,False
58.577447758336774,False
43.62122248093597,False
77.95350334792315,False
50.95978575599104,False
41.5013161585869,False
51.38991276293269,False
63.48082865136608,False
47.762482440987284,False
57.499436638035654,False
42.32108550801861,False
62.53264560796312,False
64.7859892999669,False
53.99445584800456,False
76.7692756293459,False
49.22856427639607,False
60.589820288850724,False
84.19732968134295,False
50.191720429688516,False
82.52376244221048,False
56.08854398472376,False
41.90721695316084,False
57.95952482728301,False
48.91448218526793,False
72.75169867378558,False
56.873546026755335,False
45.24293932105486,False
78.57048369713405,False
54.87081539596801,False
42.3394691986718,False
63.80785029496073,False
61.83890266828806,False
62.16207985991041,False
52.50179465849753,False
97.5828435137346,False
57.406141740759935,False
83.62781333978717,False
21.271052255974425,False
62.82236603933496,False
70.56455039690384,False
63.935278173915314,False
73.74126786157274,False
54.94675539830753,False
40.56561332938527,False
61.05351638464622,False
46.4587854217134,False
65.08711445851586,False
49.89939088900992,False
61.61453243484203,False
35.85342131564477,False
63.404141430599225,False
69.8915328901517,False
53.039080474221294,False
74.99319427472352,False
50.87311004007071,False
50.79463642035117,False
44.74522224128643,False
66.12368870655683,False
54.24023449681988,False
69.22416353440305,False
72.90258988524047,False
75.85802234770009,False
32.564336680443944,False
36.346235126033534,False
83.72213696025395,False
59.84057922800176,False
49.35053859838375,False
46.52009231604348,False
66.4568138068503,False
72.92998933940649,False
54.66968500940788,False
84.14554104456485,False
49.79179929844882,False
59.64562267824202,False
62.370423921341136,False
61.46063983585558,False
57.67388900505371,False
58.58908107497007,False
81.23741450069093,False
68.43070646029908,False
77.4215942404189,False
64.76106426039983,False
76.81623572789238,False
68.52048454168403,False
52.896393655382525,False
62.94820291755037,False
62.28991673616003,False
51.54333911768021,False
62.74970689738022,False
69.64886996202497,False
61.99665939037927,False
59.988261311671636,False
54.637938619022066,False
40.21544666899065,False
74.81527964862852,False
53.56801863578365,False
54.90085183568014,False
66.50239602250453,False
62.802635414371856,False
66.79323286826718,False
46.87995966596165,False
70.0154890458217,False
76.6808473344241,False
71.4325600299557,False
78.67700545365938,False
72.39545525884574,False
77.38182414427033,False
69.33051977636217,False
35.158912359123704,False
34.34845544213823,False
46.119056821988295,False
58.06637752641598,False
73.30368019527643,False
64.48459916709483,False
49.38989343903026,False
57.589582332207804,False
59.855664959411186,False
66.74681031779726,False
48.66391079317722,False
83.3608023723744,False
