Units of alcohol per week,Big cheese attendances per year
6.6414685608148964,6.0
8.511864064470556,5.0
2.5292435918335037,2.0
5.009038072230038,3.0
13.18437588843428,10.0
9.054546539453964,6.0
14.730619216600498,10.0
5.694884026349651,5.0
6.180314716969985,6.0
0.0,2.0
1.184388457906202,0.0
17.817812111414497,11.0
5.935204801211313,3.0
0.0,0.0
1.8092783563244763,4.0
8.076675437949465,5.0
8.379041732184168,7.0
3.8515597369787873,4.0
0.9251121734435963,1.0
10.218957716967639,6.0
0.7718298155731512,1.0
4.292057097726228,4.0
5.626446531498683,4.0
3.222557350698696,3.0
8.21146512350703,5.0
11.53319331130415,8.0
3.2120645943944774,2.0
7.032925711298444,5.0
4.0355511677283715,3.0
0.41972272412534206,1.0
5.952789470414028,6.0
6.883368874043155,5.0
11.130220767307215,7.0
11.33036761469523,6.0
2.516457423047439,3.0
4.5725451710828455,3.0
8.01840952023768,5.0
0.0,2.0
6.662600841091644,3.0
0.0,2.0
0.0,0.0
0.0,0.0
0.7065206269296587,1.0
0.0,2.0
0.0,1.0
4.916264822888364,5.0
4.475396945250921,4.0
8.79274625072322,6.0
0.15336959644067838,1.0
9.016548776548694,6.0
5.641087884919863,4.0
4.381488740727075,4.0
0.0,2.0
8.076250449679913,4.0
4.916827376058127,3.0
0.0,1.0
5.800436973544175,3.0
0.0,1.0
9.920478126684575,7.0
3.7794697532128896,4.0
13.586245094543134,8.0
5.929916497126421,2.0
3.2846053052920126,4.0
0.9021314671073305,3.0
9.579481066150354,6.0
6.155411138733182,5.0
13.05929977891817,8.0
1.6772948375059076,0.0
8.545863438485302,5.0
3.9013536476785236,3.0
11.288753408236804,5.0
0.0,1.0
4.4030595457114945,3.0
13.034979261599478,6.0
10.73116749527246,5.0
0.0,0.0
4.250264499013687,3.0
5.861177378206108,3.0
10.204455054697215,8.0
0.8250133722026831,0.0
0.0,2.0
9.298244742881172,7.0
0.0,3.0
7.3257149426205785,5.0
5.375645524708824,5.0
8.648437041918207,6.0
0.0,1.0
0.0,0.0
0.0,0.0
8.29364953806866,4.0
5.028440281684671,3.0
6.8382621429729555,5.0
0.0,0.0
6.899047774934901,5.0
4.564515583826017,3.0
0.330068751133365,0.0
4.1306728703878655,4.0
18.870144694952405,11.0
13.364749231273173,9.0
1.7755856545442699,1.0
0.0,2.0
0.0,2.0
0.0,3.0
0.0,1.0
0.0,5.0
0.0,3.0
0.0,4.0
0.0,2.0
0.0,1.0
0.0,4.0
